Model: BERT
Epochs: 50
Batch Size: 16
Learning Rate: 0.001
Evaluation Metric: accuracy
Language: en
Epoch 0: Loss=1.2850, Accuracy=0.4697
Epoch 1: Loss=0.5051, Accuracy=0.8261
Epoch 2: Loss=0.1413, Accuracy=0.9631
Epoch 3: Loss=0.0346, Accuracy=0.9919
Epoch 4: Loss=0.0112, Accuracy=0.9969
Epoch 5: Loss=0.0070, Accuracy=0.9991
Epoch 6: Loss=0.0027, Accuracy=1.0000
Epoch 7: Loss=0.0013, Accuracy=1.0000
Epoch 8: Loss=0.0010, Accuracy=1.0000
Epoch 9: Loss=0.0007, Accuracy=1.0000
Epoch 10: Loss=0.0005, Accuracy=1.0000
Epoch 11: Loss=0.0005, Accuracy=1.0000
Epoch 12: Loss=0.0004, Accuracy=1.0000
Epoch 13: Loss=0.0004, Accuracy=1.0000
Epoch 14: Loss=0.0003, Accuracy=1.0000
Epoch 15: Loss=0.0003, Accuracy=1.0000
Epoch 16: Loss=0.0003, Accuracy=1.0000
Epoch 17: Loss=0.0002, Accuracy=1.0000
Epoch 18: Loss=0.0002, Accuracy=1.0000
Epoch 19: Loss=0.0002, Accuracy=1.0000
Epoch 20: Loss=0.0002, Accuracy=1.0000
Epoch 21: Loss=0.0002, Accuracy=1.0000
Epoch 22: Loss=0.0001, Accuracy=1.0000
Epoch 23: Loss=0.0001, Accuracy=1.0000
Epoch 24: Loss=0.0001, Accuracy=1.0000
Epoch 25: Loss=0.0001, Accuracy=1.0000
Epoch 26: Loss=0.0001, Accuracy=1.0000
Epoch 27: Loss=0.0001, Accuracy=1.0000
Epoch 28: Loss=0.0001, Accuracy=1.0000
Epoch 29: Loss=0.0001, Accuracy=1.0000
Epoch 30: Loss=0.0001, Accuracy=1.0000
Epoch 31: Loss=0.0001, Accuracy=1.0000
Epoch 32: Loss=0.0001, Accuracy=1.0000
Epoch 33: Loss=0.0001, Accuracy=1.0000
Epoch 34: Loss=0.0000, Accuracy=1.0000
Epoch 35: Loss=0.0000, Accuracy=1.0000
Epoch 36: Loss=0.0000, Accuracy=1.0000
Epoch 37: Loss=0.0000, Accuracy=1.0000
Epoch 38: Loss=0.0000, Accuracy=1.0000
Epoch 39: Loss=0.0000, Accuracy=1.0000
Epoch 40: Loss=0.0000, Accuracy=1.0000
Epoch 41: Loss=0.0000, Accuracy=1.0000
Epoch 42: Loss=0.0000, Accuracy=1.0000
Epoch 43: Loss=0.0000, Accuracy=1.0000
Epoch 44: Loss=0.0000, Accuracy=1.0000
Epoch 45: Loss=0.0000, Accuracy=1.0000
Epoch 46: Loss=0.0000, Accuracy=1.0000
Epoch 47: Loss=0.0000, Accuracy=1.0000
Epoch 48: Loss=0.0000, Accuracy=1.0000
Epoch 49: Loss=0.0000, Accuracy=1.0000
