Model: BERT
Epochs: 50
Batch Size: 16
Learning Rate: 0.001
Evaluation Metric: accuracy
Language: zh
Epoch 0: Loss=1.4712, Accuracy=0.3784
Epoch 1: Loss=0.7038, Accuracy=0.7429
Epoch 2: Loss=0.2451, Accuracy=0.9285
Epoch 3: Loss=0.0951, Accuracy=0.9708
Epoch 4: Loss=0.0332, Accuracy=0.9919
Epoch 5: Loss=0.0137, Accuracy=0.9973
Epoch 6: Loss=0.0047, Accuracy=1.0000
Epoch 7: Loss=0.0655, Accuracy=0.9789
Epoch 8: Loss=0.1165, Accuracy=0.9622
Epoch 9: Loss=0.0379, Accuracy=0.9865
Epoch 10: Loss=0.0138, Accuracy=0.9960
Epoch 11: Loss=0.0033, Accuracy=1.0000
Epoch 12: Loss=0.0010, Accuracy=1.0000
Epoch 13: Loss=0.0025, Accuracy=0.9996
Epoch 14: Loss=0.0007, Accuracy=1.0000
Epoch 15: Loss=0.0022, Accuracy=0.9991
Epoch 16: Loss=0.0007, Accuracy=1.0000
Epoch 17: Loss=0.0086, Accuracy=0.9982
Epoch 18: Loss=0.1241, Accuracy=0.9636
Epoch 19: Loss=0.0878, Accuracy=0.9712
Epoch 20: Loss=0.0491, Accuracy=0.9838
Epoch 21: Loss=0.0458, Accuracy=0.9865
Epoch 22: Loss=0.0289, Accuracy=0.9915
Epoch 23: Loss=0.0047, Accuracy=0.9991
Epoch 24: Loss=0.0014, Accuracy=1.0000
Epoch 25: Loss=0.0040, Accuracy=0.9991
Epoch 26: Loss=0.0032, Accuracy=0.9991
Epoch 27: Loss=0.0005, Accuracy=1.0000
Epoch 28: Loss=0.0009, Accuracy=0.9996
Epoch 29: Loss=0.0003, Accuracy=1.0000
Epoch 30: Loss=0.0002, Accuracy=1.0000
Epoch 31: Loss=0.0002, Accuracy=1.0000
Epoch 32: Loss=0.0002, Accuracy=1.0000
Epoch 33: Loss=0.0001, Accuracy=1.0000
Epoch 34: Loss=0.0001, Accuracy=1.0000
Epoch 35: Loss=0.0001, Accuracy=1.0000
Epoch 36: Loss=0.0001, Accuracy=1.0000
Epoch 37: Loss=0.0001, Accuracy=1.0000
Epoch 38: Loss=0.0001, Accuracy=1.0000
Epoch 39: Loss=0.0001, Accuracy=1.0000
Epoch 40: Loss=0.0001, Accuracy=1.0000
Epoch 41: Loss=0.0001, Accuracy=1.0000
Epoch 42: Loss=0.0001, Accuracy=1.0000
Epoch 43: Loss=0.0001, Accuracy=1.0000
Epoch 44: Loss=0.0001, Accuracy=1.0000
Epoch 45: Loss=0.0000, Accuracy=1.0000
Epoch 46: Loss=0.0000, Accuracy=1.0000
Epoch 47: Loss=0.0000, Accuracy=1.0000
Epoch 48: Loss=0.0000, Accuracy=1.0000
Epoch 49: Loss=0.0000, Accuracy=1.0000
